job_url,title,salary,location,contract_type,job_type
/jobs/data-analyst/52243131?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst ,"£50,000 - £60,000 per annum",London,Permanent,full-time
/jobs/data-analyst/52276158?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst ,"£30,000 per annum",Warrington,Permanent,full-time
/jobs/data-analyst-trainee/52007751?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Kingston Upon Thames,Permanent,full-time
/jobs/data-analyst-trainee/52011370?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Mansfield,Permanent,full-time
/jobs/data-analyst-trainee/51997168?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Portsmouth,Permanent,full-time
/jobs/data-analyst-trainee/51996667?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Aberdeen,Permanent,full-time
/jobs/data-analyst-trainee/51996453?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51996391?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Norwich,Permanent,full-time
/jobs/data-analyst-trainee/51852775?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Sheffield,Permanent,full-time
/jobs/data-analyst-trainee/51958460?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,West Hoe,Permanent,full-time
/jobs/data-analyst-trainee/51958363?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51927454?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Bradford,Permanent,full-time
/jobs/data-analyst-trainee/51951376?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Hounslow,Permanent,full-time
/jobs/data-analyst-trainee/51941224?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51958296?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51919351?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Preston,Permanent,full-time
/jobs/data-analyst-trainee/51911012?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Hull,Permanent,full-time
/jobs/data-analyst-trainee/51890509?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,London,Permanent,full-time
/jobs/data-analyst-trainee/51890362?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,North London,Permanent,full-time
/jobs/data-analyst-trainee/51870409?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,Coventry,Permanent,full-time
/jobs/data-analyst-trainee/51879883?source=searchResults&filter=%2Fjobs%2Fdata-analyst-jobs,Data Analyst Trainee, Training Course,London,Permanent,full-time
